"","N_groups","model","N_fac","bias","SD","N","SE"
"1859",1170,"Fixed Effect","5000",0.21,NA,1,NA
"1860",1170,"MAIHDA","5000",0.079,NA,1,NA
"1861",1175,"Fixed Effect","5000",0.216,NA,1,NA
"1862",1175,"MAIHDA","5000",0.207,NA,1,NA
"1863",1187,"Fixed Effect","5000",0.347,NA,1,NA
"1864",1187,"MAIHDA","5000",0.333,NA,1,NA
"1865",1188,"Fixed Effect","5000",-0.394,NA,1,NA
"1866",1188,"MAIHDA","5000",-0.559,NA,1,NA
"1867",1189,"Fixed Effect","5000",1.591,NA,1,NA
"1868",1189,"MAIHDA","5000",1.309,NA,1,NA
"1869",1191,"Fixed Effect","5000",-2.708,NA,1,NA
"1870",1191,"MAIHDA","5000",-2.728,NA,1,NA
"1871",1197,"Fixed Effect","5000",2.21,NA,1,NA
"1872",1197,"MAIHDA","5000",2.014,NA,1,NA
"1873",1199,"Fixed Effect","5000",1.37,NA,1,NA
"1874",1199,"MAIHDA","5000",1.249,NA,1,NA
"1875",1200,"Fixed Effect","5000",0.266666666666667,0.33242492886866,3,0.191925622167663
"1876",1200,"MAIHDA","5000",0.0193333333333333,0.289327380891151,3,0.167043241241436
"1877",1203,"Fixed Effect","5000",-0.0645,2.10647110115473,2,1.4895
"1878",1203,"MAIHDA","5000",-0.197,2.0605091603776,2,1.457
"1879",1204,"Fixed Effect","5000",1.416,NA,1,NA
"1880",1204,"MAIHDA","5000",1.357,NA,1,NA
"1881",1206,"Fixed Effect","5000",-0.302,0.322440692221066,2,0.228
"1882",1206,"MAIHDA","5000",-0.402,0.298399061660723,2,0.211
"1883",1208,"Fixed Effect","5000",-2.119,NA,1,NA
"1884",1208,"MAIHDA","5000",-2.341,NA,1,NA
"1885",1209,"Fixed Effect","5000",-0.9095,0.0954594154601839,2,0.0675
"1886",1209,"MAIHDA","5000",-0.975,0.0678822509939085,2,0.0479999999999999
"1887",1210,"Fixed Effect","5000",0.81575,1.16767614659773,4,0.583838073298867
"1888",1210,"MAIHDA","5000",0.6045,1.16061032794532,4,0.580305163972658
"1889",1211,"Fixed Effect","5000",0.0626666666666666,1.09582221794109,3,0.632673252512262
"1890",1211,"MAIHDA","5000",-0.0263333333333334,1.10755692103536,3,0.6394482865026
"1891",1212,"Fixed Effect","5000",-1.03366666666667,0.731001687184555,6,0.298430189119294
"1892",1212,"MAIHDA","5000",-1.158,0.754990860871839,6,0.308223728266768
"1893",1213,"Fixed Effect","5000",0.351,NA,1,NA
"1894",1213,"MAIHDA","5000",0.305,NA,1,NA
"1895",1214,"Fixed Effect","5000",-0.951,NA,1,NA
"1896",1214,"MAIHDA","5000",-1.18,NA,1,NA
"1897",1215,"Fixed Effect","5000",-0.7916,1.09689256538642,5,0.490545268043633
"1898",1215,"MAIHDA","5000",-0.9222,1.01298603149303,5,0.453021125335232
"1899",1216,"Fixed Effect","5000",0.077,NA,1,NA
"1900",1216,"MAIHDA","5000",-0.04,NA,1,NA
"1901",1217,"Fixed Effect","5000",-0.556,2.17018455436398,3,1.25295663665321
"1902",1217,"MAIHDA","5000",-0.694,2.08672446671811,3,1.20477093258428
"1903",1218,"Fixed Effect","5000",0.208666666666667,0.0956260076199636,3,0.0552097012409152
"1904",1218,"MAIHDA","5000",0.078,0.215459973080849,3,0.124395873457817
"1905",1219,"Fixed Effect","5000",-0.0083333333333333,0.900582774281927,3,0.519951707159211
"1906",1219,"MAIHDA","5000",-0.128333333333333,0.983067817260505,3,0.56757446892701
"1907",1220,"Fixed Effect","5000",1.7415,1.11510739393119,2,0.7885
"1908",1220,"MAIHDA","5000",1.6455,1.11793582105593,2,0.7905
"1909",1221,"Fixed Effect","5000",0.983,1.37707988148836,3,0.795057440272924
"1910",1221,"MAIHDA","5000",0.849,1.3867674642852,3,0.800650568808474
"1911",1222,"Fixed Effect","5000",0.76875,0.968337880081121,4,0.484168940040561
"1912",1222,"MAIHDA","5000",0.71175,0.983338658177673,4,0.491669329088837
"1913",1223,"Fixed Effect","5000",0.54,0.776403245742829,2,0.549
"1914",1223,"MAIHDA","5000",0.476,0.673165655689593,2,0.476
"1915",1225,"Fixed Effect","5000",1.06,1.32087546725647,2,0.934
"1916",1225,"MAIHDA","5000",0.8505,1.53654303551837,2,1.0865
"1917",1226,"Fixed Effect","5000",0.116833333333333,0.9550475206327,6,0.389896517610051
"1918",1226,"MAIHDA","5000",0.0178333333333333,1.04258475274995,6,0.425633442973855
"1919",1227,"Fixed Effect","5000",0.0900000000000001,1.6520205809856,3,0.953794527138838
"1920",1227,"MAIHDA","5000",-0.0406666666666668,1.54977880142081,3,0.894765208184682
"1921",1228,"Fixed Effect","5000",1.26233333333333,0.916304716419889,3,0.529028774684747
"1922",1228,"MAIHDA","5000",1.224,0.894670889210105,3,0.516538478721576
"1923",1229,"Fixed Effect","5000",0.116166666666667,0.515257379051156,6,0.210352944146525
"1924",1229,"MAIHDA","5000",-0.0525,0.631805587186438,6,0.257933550874381
"1925",1230,"Fixed Effect","5000",0.61,0.976671131957938,5,0.436780608543923
"1926",1230,"MAIHDA","5000",0.4708,1.01171053172338,5,0.452450704497186
"1927",1231,"Fixed Effect","5000",0.16,0.783507243106278,6,0.319865492564192
"1928",1231,"MAIHDA","5000",0.0501666666666667,0.770882978581488,6,0.314711658153583
"1929",1232,"Fixed Effect","5000",0.0458571428571428,0.960156485261895,7,0.362905039958404
"1930",1232,"MAIHDA","5000",-0.0364285714285714,0.968196064362802,7,0.365943715236494
"1931",1233,"Fixed Effect","5000",-0.534142857142857,0.855292820923811,7,0.323270300329043
"1932",1233,"MAIHDA","5000",-0.625714285714286,0.766823037883299,7,0.289831865404896
